activity_type,aerobic_training_effect,anaerobic_training_effect,avg_hr,avg_speed,calories,distance,max_ftp,max_hr,duration,begin_timestamp,event_type_id,start_time_gmt,start_time_local,elevation_gain,elevation_loss,max_run_cadence,steps,avg_stride_length,avg_fractional_cadence,max_fractional_cadence,elapsed_duration,moving_duration,min_temperature,max_temperature,min_elevation,max_elevation,avg_double_cadence,max_double_cadence,max_vertical_speed,lap_count,water_estimated,min_respiration_rate,max_respiration_rate,avg_respiration_rate,activity_training_load
2,0.30000001192092896,0.0,97.0,0.0,419.00199999999995,0.0,197.0,114.0,1244524.0478515625,1586363629000,9,1586363629000.0,1586374429000.0,0.0,0.0,,,,0.0,0.0,1248866.943359375,0.0,20.0,22.0,38760.00061035156,39100.0,,,0.1399993896484375,2,,,,,
2,,,,0.0,0.0,0.0,197.0,,745278.9916992188,1586361865000,9,1586361865000.0,1586372665000.0,0.0,0.0,,,,0.0,0.0,745278.9916992188,0.0,13.0,17.0,39120.001220703125,39120.001220703125,,,0.0,1,,,,,
3,0.10000000149011612,0.0,87.0,0.0,159.22075999999998,0.0,197.0,105.0,585861.0229492188,1586359508000,9,1586359508000.0,1586370308000.0,,,,8.0,,0.0,0.0,585861.0229492188,585861.0229492188,23.0,24.0,,,,,,1,,,,,
3,0.10000000149011612,0.0,72.0,0.0,628.5029999999999,0.0,197.0,103.0,4804970.21484375,1586338243000,9,1586338243000.0,1586349043000.0,,,,372.0,,0.0,0.0,4804970.21484375,2192833.984375,21.0,29.0,,,,,,1,,,,,
2,0.30000001192092896,0.0,95.0,0.0,222.07106,0.0,197.0,124.0,876210.9985351562,1586283370000,9,1586283370000.0,1586294170000.0,0.0,0.0,,,,0.0,0.0,876210.9985351562,0.0,21.0,24.0,38179.998779296875,38179.998779296875,,,0.0,1,,,,,
3,0.20000000298023224,0.0,71.0,0.0,536.32256,0.0,197.0,108.0,4012753.90625,1586255069000,9,1586255069000.0,1586265869000.0,,,,330.0,,0.0,0.0,4012753.90625,1856103.02734375,24.0,27.0,,,,,,1,,,,,
2,0.20000000298023224,0.0,92.0,0.0,284.92136,0.0,197.0,108.0,943745.9716796875,1586195041000,9,1586195041000.0,1586205841000.0,0.0,0.0,,,,0.0,0.0,943745.9716796875,0.0,24.0,27.0,38220.001220703125,38220.001220703125,,,0.0,1,,,,,
2,0.8999999761581421,0.20000000298023224,110.0,0.0,645.26308,0.0,197.0,148.0,1394603.02734375,1586191894000,9,1586191894000.0,1586202694000.0,0.0,0.0,,,,0.0,0.0,1394603.02734375,0.0,24.0,27.0,37960.00061035156,38320.001220703125,,,0.14000091552734376,1,,,,,
3,0.20000000298023224,0.0,88.0,0.0,171.79082,0.0,197.0,129.0,619450.0122070312,1586190703000,9,1586190703000.0,1586201503000.0,,,,12.0,,0.0,0.0,619450.0122070312,619450.0122070312,26.0,27.0,,,,,,1,,,,,
3,0.0,0.0,71.0,0.0,155.03073999999998,0.0,197.0,91.0,1049699.951171875,1586189347000,9,1586189347000.0,1586200147000.0,,,,12.0,,0.0,0.0,1053468.994140625,1048739.013671875,23.0,25.0,,,,,,1,,,,,
3,0.10000000149011612,0.0,71.0,0.0,536.32256,0.0,197.0,91.0,4348362.79296875,1585997075000,9,1585997075000.0,1586007875000.0,,,,354.0,,0.0,0.0,4348362.79296875,1848203.0029296875,23.0,25.0,,,,,,1,,,,,
